name,death_year,occupation,wikidata_id,wikidata_url
Lila Debi,1943,writer,Q51727566,https://www.wikidata.org/wiki/Q51727566
Mankumari Basu,1943,poet|writer,Q3612925,https://www.wikidata.org/wiki/Q3612925
Narayan Chandra Bandyopadhyay,1943,writer,Q133365034,https://www.wikidata.org/wiki/Q133365034
Pramathanath Mallik,1943,poet|writer,Q50225059,https://www.wikidata.org/wiki/Q50225059
Rakhal Chandra Chakraborty,1943,writer,Q26335959,https://www.wikidata.org/wiki/Q26335959
Ramananda Chatterjee,1943,writer,Q7288920,https://www.wikidata.org/wiki/Q7288920
Surama Sundari Ghosh,1943,poet,Q54554606,https://www.wikidata.org/wiki/Q54554606
Ashutosh Chowdhury,1944,writer,Q13057147,https://www.wikidata.org/wiki/Q13057147
Gananath Sen,1944,writer,Q48685980,https://www.wikidata.org/wiki/Q48685980
Mahesh Chandra Bhattacharya,1944,writer,Q50498427,https://www.wikidata.org/wiki/Q50498427
Nirmalshib Bandyopadhyay,1944,playwright|writer,Q28771252,https://www.wikidata.org/wiki/Q28771252
Prafulla Chandra Ray,1944,essayist,Q3351086,https://www.wikidata.org/wiki/Q3351086
Prafulla Kumar Sarkar,1944,writer,Q50223284,https://www.wikidata.org/wiki/Q50223284
Pramathanath Tarkabhushan,1944,essayist|writer,Q50224384,https://www.wikidata.org/wiki/Q50224384
Sarasilal Sarkar,1944,writer,Q139824820,https://www.wikidata.org/wiki/Q139824820
Sarojnath Ghosh,1944,writer,Q120487748,https://www.wikidata.org/wiki/Q120487748
Shachish Chandra Chattapadhyay,1944,novelist|writer,Q27554471,https://www.wikidata.org/wiki/Q27554471
Anath Gopal Sen,1945,writer,Q131436958,https://www.wikidata.org/wiki/Q131436958
Girija Kumar Basu,1945,poet,Q117378989,https://www.wikidata.org/wiki/Q117378989
Jatindra Mohan Roy,1945,writer,Q23681787,https://www.wikidata.org/wiki/Q23681787
Kanak Bhushan Mukhopadhyay,1945,poet,Q134547768,https://www.wikidata.org/wiki/Q134547768
Munindra Deb Roy,1945,writer,Q50505111,https://www.wikidata.org/wiki/Q50505111
Panchkari Dey,1945,novelist|writer,Q33112506,https://www.wikidata.org/wiki/Q33112506
Rajanikanta Guha,1945,writer,Q27514857,https://www.wikidata.org/wiki/Q27514857
Ruhul Amin,1945,writer,Q118115286,https://www.wikidata.org/wiki/Q118115286
Sarada Prasanna Das,1945,writer,Q139884600,https://www.wikidata.org/wiki/Q139884600
Sarala Devi Chaudhurani,1945,writer,Q7423026,https://www.wikidata.org/wiki/Q7423026
Sitanath Dutta,1945,writer,Q7531651,https://www.wikidata.org/wiki/Q7531651
Subhas Chandra Bose,1945,writer,Q2153,https://www.wikidata.org/wiki/Q2153
Surendranath Maitra,1945,writer,Q134286719,https://www.wikidata.org/wiki/Q134286719
Sushil Kumar Basu,1945,writer,Q136005163,https://www.wikidata.org/wiki/Q136005163
Ambujasundari Dasgupta,1946,writer,Q33194564,https://www.wikidata.org/wiki/Q33194564
Atul Krishna Goswami,1946,writer,Q40686328,https://www.wikidata.org/wiki/Q40686328
Bhupendra Chandra Chakraborty,1946,writer,Q25999235,https://www.wikidata.org/wiki/Q25999235
Chandra Kumar De,1946,writer,Q5071287,https://www.wikidata.org/wiki/Q5071287
Kiran Chand Chattopadhyay,1946,writer,Q48600175,https://www.wikidata.org/wiki/Q48600175
Panchugopal Mallik,1946,novelist|writer,Q133458849,https://www.wikidata.org/wiki/Q133458849
Pramatha Chaudhuri,1946,essayist|poet|writer,Q7238239,https://www.wikidata.org/wiki/Q7238239
Purna Chandra De,1946,writer,Q50221651,https://www.wikidata.org/wiki/Q50221651
Sarat Kumar Rai,1946,writer,Q7244238,https://www.wikidata.org/wiki/Q7244238
Akshay Kumar Chattopadhyay,1947,writer,Q40674176,https://www.wikidata.org/wiki/Q40674176
Hemendra Vijay Sen,1947,writer,Q105712831,https://www.wikidata.org/wiki/Q105712831
Mrinal Kanti Ghosh,1947,writer,Q50548680,https://www.wikidata.org/wiki/Q50548680
Nalini Kanta Bhattasali,1947,writer,Q16345692,https://www.wikidata.org/wiki/Q16345692
Peary Mohan Sengupta,1947,writer,Q97252424,https://www.wikidata.org/wiki/Q97252424
Priyanath Mukhopadhyay,1947,essayist|writer,Q27183960,https://www.wikidata.org/wiki/Q27183960
Rajendranath Ghosh,1947,writer,Q66774781,https://www.wikidata.org/wiki/Q66774781
Rasik Mohan Vidyabhushan,1947,writer,Q50611237,https://www.wikidata.org/wiki/Q50611237
Shashibhushan Vidyalankar,1947,writer,Q23709438,https://www.wikidata.org/wiki/Q23709438
Sukanta Bhattacharya,1947,playwright|poet|writer,Q6457087,https://www.wikidata.org/wiki/Q6457087
Atul Chandra Sen,1948,writer,Q108405917,https://www.wikidata.org/wiki/Q108405917
Benimadhab Barua,1948,writer,Q817311,https://www.wikidata.org/wiki/Q817311
Jatindramohan Bagchi,1948,poet|writer,Q6164589,https://www.wikidata.org/wiki/Q6164589
Kusumkumari Das,1948,poet|writer,Q6448228,https://www.wikidata.org/wiki/Q6448228
Prabhas Chandra Bandyopadhyay,1948,writer,Q117705092,https://www.wikidata.org/wiki/Q117705092
Benoy Kumar Sarkar,1949,essayist|writer,Q4890148,https://www.wikidata.org/wiki/Q4890148
Jaminikanta Sen,1949,writer,Q106844168,https://www.wikidata.org/wiki/Q106844168
Kanti Chandra Ghosh,1949,writer,Q56611584,https://www.wikidata.org/wiki/Q56611584
Kedarnath Bandyopadhyay,1949,poet|writer,Q48636640,https://www.wikidata.org/wiki/Q48636640
Kiran Shankar Roy,1949,writer,Q48600973,https://www.wikidata.org/wiki/Q48600973
Krishna Chandra Bhattacharya,1949,writer,Q5575290,https://www.wikidata.org/wiki/Q5575290
Pramada Ranjan Roy,1949,writer,Q138807143,https://www.wikidata.org/wiki/Q138807143
Pramathanath Roy Chowdhury,1949,playwright|poet|writer,Q37814052,https://www.wikidata.org/wiki/Q37814052
Sarajubala Sen,1949,writer,Q54545159,https://www.wikidata.org/wiki/Q54545159
Sarojini Naidu,1949,poet|writer,Q250165,https://www.wikidata.org/wiki/Q250165
Someshwar Prasad Chowdhury,1949,writer,Q54555978,https://www.wikidata.org/wiki/Q54555978
Surendranath Sen,1949,writer,Q54555543,https://www.wikidata.org/wiki/Q54555543
Annadasundari Ghosh,1950,poet|writer,Q33248861,https://www.wikidata.org/wiki/Q33248861
Aurobindo Ghosh,1950,essayist|poet|writer,Q192207,https://www.wikidata.org/wiki/Q192207
Bibhutibhushan Bandyopadhyay,1950,novelist|poet|writer,Q2900953,https://www.wikidata.org/wiki/Q2900953
Hemchandra Kanungo,1950,writer,Q16851604,https://www.wikidata.org/wiki/Q16851604
Kulada Ranjan Roy,1950,writer,Q48623861,https://www.wikidata.org/wiki/Q48623861
Manomohan Ghosh,1950,writer,Q113832187,https://www.wikidata.org/wiki/Q113832187
Panchanan Niyogi,1950,writer,Q50193290,https://www.wikidata.org/wiki/Q50193290
Prajnasundari Devi,1950,writer,Q32986435,https://www.wikidata.org/wiki/Q32986435
Rebati Mohan Sen,1950,writer,Q51707675,https://www.wikidata.org/wiki/Q51707675
Sarat Chandra Bose,1950,writer,Q4094983,https://www.wikidata.org/wiki/Q4094983
Sundari Mohan Das,1950,writer,Q21176925,https://www.wikidata.org/wiki/Q21176925
Upendranath Bandyopadhyay,1950,journalist|writer,Q43389032,https://www.wikidata.org/wiki/Q43389032
Abanindranath Tagore,1951,essayist|novelist|writer,Q691796,https://www.wikidata.org/wiki/Q691796
Advaita Mallabarmana,1951,journalist|novelist|writer,Q4686018,https://www.wikidata.org/wiki/Q4686018
Dhirendranath Mukhopadhyay,1951,poet|writer,Q106612791,https://www.wikidata.org/wiki/Q106612791
Dwijendranath Bhaduri,1951,poet,Q134806892,https://www.wikidata.org/wiki/Q134806892
Nalinimohan Sanyal,1951,novelist|writer,Q54806566,https://www.wikidata.org/wiki/Q54806566
Nirupama Devi,1951,novelist,Q16750749,https://www.wikidata.org/wiki/Q16750749
Ramkrishna Tarkatirtha,1951,writer,Q50807575,https://www.wikidata.org/wiki/Q50807575
Sheikh Wajid Ali,1951,writer,Q7387981,https://www.wikidata.org/wiki/Q7387981
Suresh Chandra Chakraborty,1951,writer,Q112036016,https://www.wikidata.org/wiki/Q112036016
Abdullah el Baqui,1952,writer,Q31723919,https://www.wikidata.org/wiki/Q31723919
Anil Chandra Roy,1952,writer,Q40689419,https://www.wikidata.org/wiki/Q40689419
Brajendranath Bandyopadhyay,1952,writer,Q23828432,https://www.wikidata.org/wiki/Q23828432
Charu Chandra Dutta,1952,writer,Q48793540,https://www.wikidata.org/wiki/Q48793540
Hemanta Kumar Sarkar,1952,writer,Q15998244,https://www.wikidata.org/wiki/Q15998244
Jatindra Mohan Sengupta,1952,novelist|writer,Q111982233,https://www.wikidata.org/wiki/Q111982233
Jnanendranath Chattopadhyay,1952,writer,Q120478755,https://www.wikidata.org/wiki/Q120478755
Kazem Al Qureshi,1952,poet|writer,Q16345221,https://www.wikidata.org/wiki/Q16345221
Manindra Mohan Bose,1952,novelist|writer,Q113398680,https://www.wikidata.org/wiki/Q113398680
Mohitlal Majumdar,1952,essayist|poet|writer,Q6894224,https://www.wikidata.org/wiki/Q6894224
Nabadwip Chandra Brajabasi,1952,writer,Q124638662,https://www.wikidata.org/wiki/Q124638662
Nesaruddin Ahmad,1952,writer,Q108405904,https://www.wikidata.org/wiki/Q108405904
Nibaran Chandra Bhattacharya,1952,writer,Q50186427,https://www.wikidata.org/wiki/Q50186427
Rebati Mohan Burman,1952,writer,Q18988897,https://www.wikidata.org/wiki/Q18988897
Shashadhar Dutta,1952,novelist|writer,Q54344093,https://www.wikidata.org/wiki/Q54344093
Srish Chandra Nandy,1952,writer,Q23618094,https://www.wikidata.org/wiki/Q23618094
Surendranath Dasgupta,1952,poet|writer,Q2564301,https://www.wikidata.org/wiki/Q2564301
Suresh Chandra Chakraborty,1952,writer,Q140242040,https://www.wikidata.org/wiki/Q140242040
Abdul Karim,1953,writer,Q4665479,https://www.wikidata.org/wiki/Q4665479
Achyut Charan Choudhury,1953,writer,Q15725461,https://www.wikidata.org/wiki/Q15725461
Girindrasekhar Bose,1953,writer,Q3107610,https://www.wikidata.org/wiki/Q3107610
Shahadat Hossain,1953,poet|writer,Q13059807,https://www.wikidata.org/wiki/Q13059807
Hamid Ali,1954,poet|writer,Q13060247,https://www.wikidata.org/wiki/Q13060247
Iseult Gonne,1954,poet|writer,Q15303126,https://www.wikidata.org/wiki/Q15303126
Jatindranath Sengupta,1954,poet|writer,Q6164593,https://www.wikidata.org/wiki/Q6164593
Jibanananda Das,1954,poet|writer,Q3116411,https://www.wikidata.org/wiki/Q3116411
Kiran Chandra Mukhopadhyay,1954,writer,Q25586217,https://www.wikidata.org/wiki/Q25586217
Mahendranath Sarkar,1954,writer,Q50497695,https://www.wikidata.org/wiki/Q50497695
Manoranjan Bhattacharya,1954,playwright,Q50411028,https://www.wikidata.org/wiki/Q50411028
Mohammad Wajed Ali,1954,writer,Q13059449,https://www.wikidata.org/wiki/Q13059449
Nagendranath Gangulee,1954,writer,Q59524655,https://www.wikidata.org/wiki/Q59524655
Niradmohini Debi,1954,poet|writer,Q50188548,https://www.wikidata.org/wiki/Q50188548
Rashid Ahmed Chowdhury,1954,writer,Q4996088,https://www.wikidata.org/wiki/Q4996088
Satyendranath Majumder,1954,essayist|writer,Q37819490,https://www.wikidata.org/wiki/Q37819490
Surendranath Gangopadhyay,1954,writer,Q134389488,https://www.wikidata.org/wiki/Q134389488
Abdul Khaleque,1955,writer,Q130940503,https://www.wikidata.org/wiki/Q130940503
Amalendu Das Gupta,1955,journalist|writer,Q13056853,https://www.wikidata.org/wiki/Q13056853
Barada Charan Gupta,1955,writer,Q19667432,https://www.wikidata.org/wiki/Q19667432
Bijay Ratna Majumder,1955,novelist|writer,Q28771255,https://www.wikidata.org/wiki/Q28771255
Durgamohan Mukhopadhyay,1955,writer,Q122721659,https://www.wikidata.org/wiki/Q122721659
Jyoti Bachaspati,1955,playwright|writer,Q48977719,https://www.wikidata.org/wiki/Q48977719
Kartik Chandra Bose,1955,writer,Q42298380,https://www.wikidata.org/wiki/Q42298380
Karunanidhan Bandyopadhyay,1955,poet|writer,Q27918267,https://www.wikidata.org/wiki/Q27918267
Munindra Prasad Sarbadhikary,1955,writer,Q120500257,https://www.wikidata.org/wiki/Q120500257
Ramnath Biswas,1955,novelist|writer,Q16346488,https://www.wikidata.org/wiki/Q16346488
Shashishekhar Basu,1955,writer,Q27918331,https://www.wikidata.org/wiki/Q27918331
Umakanta Hajari,1955,writer,Q105763661,https://www.wikidata.org/wiki/Q105763661
B. R. Ambedkar,1956,essayist|journalist|writer,Q231690,https://www.wikidata.org/wiki/Q231690
Dakshinaranjan Mitra Majumder,1956,novelist|writer,Q5210092,https://www.wikidata.org/wiki/Q5210092
Haridas Bhattacharya,1956,writer,Q5657316,https://www.wikidata.org/wiki/Q5657316
Jitendra Mohan Sen,1956,writer,Q117841666,https://www.wikidata.org/wiki/Q117841666
Mahendranath Datta,1956,writer,Q54577557,https://www.wikidata.org/wiki/Q54577557
Motaher Hussain Chowdhury,1956,writer,Q6917107,https://www.wikidata.org/wiki/Q6917107
Prabodh Chandra Bagchi,1956,writer,Q725669,https://www.wikidata.org/wiki/Q725669
Prabodh Kumar Bandyopadhyay,1956,novelist|writer,Q3115772,https://www.wikidata.org/wiki/Q3115772
Swami Premghanananda,1956,writer,Q117815017,https://www.wikidata.org/wiki/Q117815017
Syed Emdad Ali,1956,poet|writer,Q7660316,https://www.wikidata.org/wiki/Q7660316
Urmila Devi,1956,writer,Q31725134,https://www.wikidata.org/wiki/Q31725134
Yogesh Chandra Roy,1956,writer,Q37817219,https://www.wikidata.org/wiki/Q37817219
Amarendranath Roy,1957,writer,Q124968048,https://www.wikidata.org/wiki/Q124968048
Annapurna Goswami,1957,novelist|writer,Q108405815,https://www.wikidata.org/wiki/Q108405815
Dinesh Chandra Bhattacharya,1957,writer,Q49465291,https://www.wikidata.org/wiki/Q49465291
Jagadish Chandra Gupta,1957,novelist|poet|writer,Q6122090,https://www.wikidata.org/wiki/Q6122090
Pratul Chandra Ganguli,1957,writer,Q15998964,https://www.wikidata.org/wiki/Q15998964
Satish Chandra Shil,1957,writer,Q134171157,https://www.wikidata.org/wiki/Q134171157
Sunirmal Basu,1957,novelist|playwright|poet|writer,Q47008374,https://www.wikidata.org/wiki/Q47008374
Suresh Chandra Nandi,1957,writer,Q140242153,https://www.wikidata.org/wiki/Q140242153
Swami Arupananda,1957,writer,Q130478850,https://www.wikidata.org/wiki/Q130478850
Amanatulla Ahmed,1958,writer,Q97143134,https://www.wikidata.org/wiki/Q97143134
Anurupa Debi,1958,novelist|playwright|writer,Q13056819,https://www.wikidata.org/wiki/Q13056819
Haran Chandra Chakladar,1958,writer,Q123614909,https://www.wikidata.org/wiki/Q123614909
Harisadhan Chattopadhyay,1958,writer,Q13060211,https://www.wikidata.org/wiki/Q13060211
Jadunath Sarkar,1958,writer,Q2035098,https://www.wikidata.org/wiki/Q2035098
Jagadish Chandra Ghosh,1958,writer,Q60313354,https://www.wikidata.org/wiki/Q60313354
Roop Narayan Pandey,1958,journalist|poet,Q140043758,https://www.wikidata.org/wiki/Q140043758
Sarat Kumar Ghosh,1958,writer,Q130649052,https://www.wikidata.org/wiki/Q130649052
Suresh Chandra Singha,1958,writer,Q140243681,https://www.wikidata.org/wiki/Q140243681
Swami Bamdebananda,1958,writer,Q134699796,https://www.wikidata.org/wiki/Q134699796
Tarak Nath Das,1958,writer,Q3351792,https://www.wikidata.org/wiki/Q3351792
Abbas Uddin,1959,writer,Q590844,https://www.wikidata.org/wiki/Q590844
Abdul Gafur Siddiqui,1959,writer,Q100166257,https://www.wikidata.org/wiki/Q100166257
Barindra Kumar Ghosh,1959,journalist,Q4860758,https://www.wikidata.org/wiki/Q4860758
Basanta Kumar Chattopadhyay,1959,essayist|novelist|playwright|poet|writer,Q97288094,https://www.wikidata.org/wiki/Q97288094
Bidhushekhar Shastri,1959,writer,Q25586973,https://www.wikidata.org/wiki/Q25586973
Dhiraj Bhattacharya,1959,writer,Q50825422,https://www.wikidata.org/wiki/Q50825422
Haricharan Bandyopadhyay,1959,writer,Q47008357,https://www.wikidata.org/wiki/Q47008357
Lochan Prasad Pandey,1959,essayist|novelist|playwright|poet|writer,Q140053446,https://www.wikidata.org/wiki/Q140053446
Manmatha Nath Ghosh,1959,writer,Q18911526,https://www.wikidata.org/wiki/Q18911526
Sucharu Devi,1959,poet,Q15999683,https://www.wikidata.org/wiki/Q15999683
Upendranath Vidyabhushan,1959,writer,Q123468974,https://www.wikidata.org/wiki/Q123468974
Abdullah Hel Kafi,1960,writer,Q16344979,https://www.wikidata.org/wiki/Q16344979
Indira Devi Chaudhurani,1960,writer,Q26702799,https://www.wikidata.org/wiki/Q26702799
Kiran Chandra Dutta,1960,poet|writer,Q126915114,https://www.wikidata.org/wiki/Q126915114
Kshitimohan Sen,1960,writer,Q6440797,https://www.wikidata.org/wiki/Q6440797
Rajshekhar Basu,1960,essayist|writer,Q7286435,https://www.wikidata.org/wiki/Q7286435
Satish Chandra Roy,1960,writer,Q133836748,https://www.wikidata.org/wiki/Q133836748
Satya Kinkar Sahana,1960,poet|writer,Q97289447,https://www.wikidata.org/wiki/Q97289447
Shishir Nag,1960,journalist,Q20824438,https://www.wikidata.org/wiki/Q20824438
Swami Sadashivananda,1960,writer,Q124660735,https://www.wikidata.org/wiki/Q124660735
Upendranath Gangopadhyay,1960,novelist|writer,Q56604975,https://www.wikidata.org/wiki/Q56604975
Anathnath Basu,1961,writer,Q125451587,https://www.wikidata.org/wiki/Q125451587
Atindranath Basu Thakur,1961,writer,Q117343046,https://www.wikidata.org/wiki/Q117343046
Atul Chandra Gupta,1961,essayist|writer,Q13056813,https://www.wikidata.org/wiki/Q13056813
Bhupendranath Dutta,1961,writer,Q3348925,https://www.wikidata.org/wiki/Q3348925
Bimal Chandra Singha,1961,writer,Q97251031,https://www.wikidata.org/wiki/Q97251031
Bishnu Bandyopadhyay,1961,writer,Q124683333,https://www.wikidata.org/wiki/Q124683333
Charu Chandra Bhattacharya,1961,writer,Q5086961,https://www.wikidata.org/wiki/Q5086961
Dhurjati Prasad Mukerji,1961,writer,Q94402443,https://www.wikidata.org/wiki/Q94402443
Haridas Siddhanta Bagish,1961,writer,Q53989602,https://www.wikidata.org/wiki/Q53989602
Jatindra Mohan Chatterjee,1961,writer,Q97288087,https://www.wikidata.org/wiki/Q97288087
Jyotirmoy Ray,1961,writer,Q134727518,https://www.wikidata.org/wiki/Q134727518
Khagendranath Mitra,1961,writer,Q124638159,https://www.wikidata.org/wiki/Q124638159
Maya Roy,1961,writer,Q135553134,https://www.wikidata.org/wiki/Q135553134
Prabas Jeeban Choudhury,1961,writer,Q97251707,https://www.wikidata.org/wiki/Q97251707
Rajendralal Acharya,1961,writer,Q120434247,https://www.wikidata.org/wiki/Q120434247
Rathindranath Tagore,1961,writer,Q13059524,https://www.wikidata.org/wiki/Q13059524
Sachindranath Sengupta,1961,playwright|poet|writer,Q7396747,https://www.wikidata.org/wiki/Q7396747
Saralabala Sarkar,1961,poet|writer,Q28056529,https://www.wikidata.org/wiki/Q28056529
Shaikh Ghulam Maqsud Hilali,1961,writer,Q16346711,https://www.wikidata.org/wiki/Q16346711
Suresh Chandra Bandyopadhyay,1961,writer,Q140242491,https://www.wikidata.org/wiki/Q140242491
Suryakant Tripathi 'Nirala',1961,novelist|poet|writer,Q3522878,https://www.wikidata.org/wiki/Q3522878
Abinash Chandra Bhattacharya,1962,writer,Q4667431,https://www.wikidata.org/wiki/Q4667431
Amarendranath Ghosh,1962,novelist|writer,Q25588032,https://www.wikidata.org/wiki/Q25588032
Ashwini Kumar Ghosh,1962,playwright|writer,Q23009398,https://www.wikidata.org/wiki/Q23009398
Ayaskanta Baksi,1962,playwright,Q123161420,https://www.wikidata.org/wiki/Q123161420
Azizul Hakim,1962,poet,Q16344875,https://www.wikidata.org/wiki/Q16344875
Bhupendranath Sanyal,1962,writer,Q117038811,https://www.wikidata.org/wiki/Q117038811
Gopeshwar Banerjee,1962,writer,Q16002950,https://www.wikidata.org/wiki/Q16002950
Haradhan Baksi,1962,writer,Q120434067,https://www.wikidata.org/wiki/Q120434067
Hemendra Prasad Ghosh,1962,journalist|novelist|writer,Q55130407,https://www.wikidata.org/wiki/Q55130407
Kumudbandhu Sen,1962,writer,Q134122462,https://www.wikidata.org/wiki/Q134122462
Makhanlal Roychoudhury,1962,writer,Q117841594,https://www.wikidata.org/wiki/Q117841594
Ramendu Dutta,1962,writer,Q134734260,https://www.wikidata.org/wiki/Q134734260
Ramesh Chandra Sen,1962,writer,Q117347845,https://www.wikidata.org/wiki/Q117347845
Sajanikanta Das,1962,poet|writer,Q16346779,https://www.wikidata.org/wiki/Q16346779
Sheikh Habibar Rahman,1962,writer,Q61080328,https://www.wikidata.org/wiki/Q61080328
Suhrit Chandra Mitra,1962,writer,Q140247018,https://www.wikidata.org/wiki/Q140247018
Sulekha Sanyal,1962,writer,Q7636143,https://www.wikidata.org/wiki/Q7636143
Swami Mahadebananda Giri,1962,writer,Q125912298,https://www.wikidata.org/wiki/Q125912298
Durgapuri Debi,1963,writer,Q137106372,https://www.wikidata.org/wiki/Q137106372
Hemendranath Dasgupta,1963,writer,Q134876797,https://www.wikidata.org/wiki/Q134876797
Kazi Akram Hossain,1963,poet|writer,Q31724427,https://www.wikidata.org/wiki/Q31724427
Manilal Bandyopadhyay,1963,novelist|playwright,Q106832731,https://www.wikidata.org/wiki/Q106832731
Nripendra Krishna Chattopadhyay,1963,writer,Q108405979,https://www.wikidata.org/wiki/Q108405979
Prasad Das Roy,1963,novelist|playwright|writer,Q5711290,https://www.wikidata.org/wiki/Q5711290
Abaninath Mitra,1964,writer,Q124966963,https://www.wikidata.org/wiki/Q124966963
Abdur Rahman Khan,1964,writer,Q117476571,https://www.wikidata.org/wiki/Q117476571
Apurba Krishna Bhattacharya,1964,writer,Q124966912,https://www.wikidata.org/wiki/Q124966912
Asit Kumar Haldar,1964,writer,Q4807035,https://www.wikidata.org/wiki/Q4807035
Benoytosh Bhattacharyya,1964,writer,Q818098,https://www.wikidata.org/wiki/Q818098
Bhudeb Sen,1964,poet,Q124672662,https://www.wikidata.org/wiki/Q124672662
Golam Mostofa,1964,essayist|poet|writer,Q5578377,https://www.wikidata.org/wiki/Q5578377
Jaladhar Chattopadhyay,1964,playwright,Q120585714,https://www.wikidata.org/wiki/Q120585714
Jamini Kanta Som,1964,writer,Q113557249,https://www.wikidata.org/wiki/Q113557249
Jatindra Bimal Chaudhuri,1964,writer,Q113723308,https://www.wikidata.org/wiki/Q113723308
Jogendranath Gupta,1964,novelist|writer,Q16346393,https://www.wikidata.org/wiki/Q16346393
Kali Krishna Bhattacharya,1964,writer,Q124607248,https://www.wikidata.org/wiki/Q124607248
Narendra Nath Law,1964,writer,Q113802875,https://www.wikidata.org/wiki/Q113802875
Narendranath Basu,1964,writer,Q120434037,https://www.wikidata.org/wiki/Q120434037
Naresh Chandra Sengupta,1964,novelist|writer,Q6965815,https://www.wikidata.org/wiki/Q6965815
Premankur Atorthy,1964,writer,Q7240219,https://www.wikidata.org/wiki/Q7240219
Purnashashi Debi,1964,novelist|writer,Q125341606,https://www.wikidata.org/wiki/Q125341606
Shamsher Ali,1964,writer,Q136001440,https://www.wikidata.org/wiki/Q136001440
Shamsunnahar Mahmud,1964,writer,Q7487795,https://www.wikidata.org/wiki/Q7487795
Shashibhusan Dasgupta,1964,essayist|playwright|poet|writer,Q7490564,https://www.wikidata.org/wiki/Q7490564
Sudhir Kumar Goswami,1964,writer,Q116231515,https://www.wikidata.org/wiki/Q116231515
Sukharanjan Roy,1964,writer,Q135443522,https://www.wikidata.org/wiki/Q135443522
Sundarananda Vidyavinod,1964,writer,Q137394642,https://www.wikidata.org/wiki/Q137394642
Swarnakamal Bhattacharya,1964,writer,Q134730473,https://www.wikidata.org/wiki/Q134730473
Abinash Chandra Ghoshal,1965,writer,Q124967049,https://www.wikidata.org/wiki/Q124967049
Ahsanullah,1965,writer,Q6400040,https://www.wikidata.org/wiki/Q6400040
Asamanja Mukhopadhay,1965,novelist|writer,Q124988458,https://www.wikidata.org/wiki/Q124988458
Ashok Guha,1965,writer,Q124408475,https://www.wikidata.org/wiki/Q124408475
Atul Chandra Dutta,1965,writer,Q113687965,https://www.wikidata.org/wiki/Q113687965
Banbihari Mukhopadhyay,1965,writer,Q97247074,https://www.wikidata.org/wiki/Q97247074
Girija Shankar Roy Choudhury,1965,writer,Q117750129,https://www.wikidata.org/wiki/Q117750129
Hemāṅginī Datta,1965,writer,Q94376016,https://www.wikidata.org/wiki/Q94376016
Hiralal Roy,1965,writer,Q94639242,https://www.wikidata.org/wiki/Q94639242
Jyotirmoy Ghosh,1965,writer,Q113450397,https://www.wikidata.org/wiki/Q113450397
Kartik Chandra Dasgupta,1965,writer,Q97252214,https://www.wikidata.org/wiki/Q97252214
Kedarnath Chattopadhyay,1965,writer,Q55265631,https://www.wikidata.org/wiki/Q55265631
Manik Bhattacharya,1965,novelist|writer,Q56489326,https://www.wikidata.org/wiki/Q56489326
Prabodhendunath Tagore,1965,writer,Q120463715,https://www.wikidata.org/wiki/Q120463715
Rajmohan Nath,1965,writer,Q135040170,https://www.wikidata.org/wiki/Q135040170
Sabitri Prasanna Chattopadhyay,1965,poet|writer,Q124624695,https://www.wikidata.org/wiki/Q124624695
Satinath Bhaduri,1965,novelist|writer,Q142590,https://www.wikidata.org/wiki/Q142590
Sulata Kar,1965,writer,Q139956189,https://www.wikidata.org/wiki/Q139956189
Suresh Chandra Chakraborty,1965,writer,Q133181541,https://www.wikidata.org/wiki/Q133181541
Ullaskar Dutta,1965,writer,Q7879148,https://www.wikidata.org/wiki/Q7879148
