name,death_year,occupation,wikidata_id,wikidata_url
Dwijendranath Tagore,1926,essayist|poet,Q5318288,https://www.wikidata.org/wiki/Q5318288
Haran Chandra Rakshit,1926,novelist|writer,Q54568283,https://www.wikidata.org/wiki/Q54568283
Jagadindra Nath Roy,1926,writer,Q29426888,https://www.wikidata.org/wiki/Q29426888
Kedarnath Majumder,1926,journalist|writer,Q48636955,https://www.wikidata.org/wiki/Q48636955
Qazi Imdadul Haq,1926,novelist|writer,Q7267288,https://www.wikidata.org/wiki/Q7267288
Sarachchandra Choudhury,1926,poet|writer,Q28059826,https://www.wikidata.org/wiki/Q28059826
Sarojkumari Devi,1926,poet|writer,Q33199775,https://www.wikidata.org/wiki/Q33199775
Satish Chandra Siddhantabhushan,1926,writer,Q134175202,https://www.wikidata.org/wiki/Q134175202
Shashibhushan Chattopadhyay,1926,writer,Q54346343,https://www.wikidata.org/wiki/Q54346343
Indumati Ghosh,1927,writer,Q54576646,https://www.wikidata.org/wiki/Q54576646
Kshirod Prasad Vidyavinod,1927,novelist|playwright|writer,Q6440793,https://www.wikidata.org/wiki/Q6440793
Narayan Chandra Bhattacharya,1927,novelist|writer,Q50166626,https://www.wikidata.org/wiki/Q50166626
Paramesh Prasanna Roy,1927,writer,Q106135414,https://www.wikidata.org/wiki/Q106135414
Rakhal Chandra Chattopadhyay,1927,writer,Q120448204,https://www.wikidata.org/wiki/Q120448204
Rampran Gupta,1927,writer,Q51678945,https://www.wikidata.org/wiki/Q51678945
Yogindranath Basu,1927,poet|writer,Q16346391,https://www.wikidata.org/wiki/Q16346391
Baikunthanath Ghosh,1928,writer,Q125446037,https://www.wikidata.org/wiki/Q125446037
Jogindranath Samaddar,1928,writer,Q28771253,https://www.wikidata.org/wiki/Q28771253
Priyadarshan Haldar,1928,poet|writer,Q99469695,https://www.wikidata.org/wiki/Q99469695
Rasamay Laha,1928,playwright|poet,Q100014890,https://www.wikidata.org/wiki/Q100014890
Shashadhar Tarkachuramani,1928,writer,Q27919122,https://www.wikidata.org/wiki/Q27919122
Shashanka Mohan Sen,1928,writer,Q54344372,https://www.wikidata.org/wiki/Q54344372
Amritlal Basu,1929,playwright|poet,Q13056855,https://www.wikidata.org/wiki/Q13056855
Deb Kumar Roy Chowdhury,1929,writer,Q49738088,https://www.wikidata.org/wiki/Q49738088
Kalikrishna Bhattacharya,1929,writer,Q136359220,https://www.wikidata.org/wiki/Q136359220
